customerid,gender,age,annual_income_(k$),spending_score_(1-100)
1,Male,19,15.0,39
2,Male,21,15.0,81
3,Female,20,16.0,6
4,Female,23,16.0,77
5,Female,31,17.0,40
6,Female,22,17.0,76
7,Female,35,18.0,6
8,Female,23,18.0,94
9,Male,64,19.0,3
10,Female,30,19.0,72
11,Male,67,19.0,14
12,Female,35,19.0,99
13,Female,58,20.0,15
14,Female,24,20.0,77
15,Male,37,20.0,13
16,Male,22,20.0,79
17,Female,35,21.0,35
18,Male,20,21.0,66
19,Male,52,23.0,29
20,Female,35,23.0,98
21,Male,35,24.0,35
22,Male,25,24.0,73
23,Female,46,25.0,5
24,Male,31,25.0,73
25,Female,54,28.0,14
26,Male,29,28.0,82
27,Female,45,28.0,32
28,Male,35,28.0,61
29,Female,40,29.0,31
30,Female,23,29.0,87
31,Male,60,30.0,4
32,Female,21,30.0,73
33,Male,53,33.0,4
34,Male,18,33.0,92
35,Female,49,33.0,14
36,Female,21,33.0,81
37,Female,42,34.0,17
38,Female,30,34.0,73
39,Female,36,37.0,26
40,Female,20,37.0,75
41,Female,65,38.0,35
42,Male,24,38.0,92
43,Male,48,39.0,36
44,Female,31,39.0,61
45,Female,49,39.0,28
46,Female,24,39.0,65
47,Female,50,40.0,55
48,Female,27,40.0,47
49,Female,29,40.0,42
50,Female,31,40.0,42
51,Female,49,42.0,52
52,Male,33,42.0,60
53,Female,31,43.0,54
54,Male,59,43.0,60
55,Female,50,43.0,45
56,Male,47,43.0,41
57,Female,51,44.0,50
58,Male,69,44.0,46
59,Female,27,46.0,51
60,Male,53,46.0,46
61,Male,70,46.0,56
62,Male,19,46.0,55
63,Female,67,47.0,52
64,Female,54,47.0,59
65,Male,63,48.0,51
66,Male,18,48.0,59
67,Female,43,48.0,50
68,Female,68,48.0,48
69,Male,19,48.0,59
70,Female,32,48.0,47
71,Male,70,49.0,55
72,Female,47,49.0,42
73,Female,60,50.0,49
74,Female,60,50.0,56
75,Male,59,54.0,47
76,Male,26,54.0,54
77,Female,45,54.0,53
78,Male,40,54.0,48
79,Female,23,54.0,52
80,Female,49,54.0,42
81,Male,57,54.0,51
82,Male,38,54.0,55
83,Male,67,54.0,41
84,Female,46,54.0,44
85,Female,21,54.0,57
86,Male,48,54.0,46
87,Female,55,57.0,58
88,Female,22,57.0,55
89,Female,34,58.0,60
90,Female,50,58.0,46
91,Female,68,59.0,55
92,Male,18,59.0,41
93,Male,48,60.0,49
94,Female,40,60.0,40
95,Female,32,60.0,42
96,Male,24,60.0,52
97,Female,47,60.0,47
98,Female,27,60.0,50
99,Male,48,61.0,42
100,Male,20,61.0,49
101,Female,23,62.0,41
102,Female,49,62.0,48
103,Male,67,62.0,59
104,Male,26,62.0,55
105,Male,49,62.0,56
106,Female,21,62.0,42
107,Female,66,63.0,50
108,Male,54,63.0,46
109,Male,68,63.0,43
110,Male,66,63.0,48
111,Male,65,63.0,52
112,Female,19,63.0,54
113,Female,38,64.0,42
114,Male,19,64.0,46
115,Female,18,65.0,48
116,Female,19,65.0,50
117,Female,63,65.0,43
118,Female,49,65.0,59
119,Female,51,67.0,43
120,Female,50,67.0,57
121,Male,27,67.0,56
122,Female,38,67.0,40
123,Female,40,69.0,58
124,Male,39,69.0,91
125,Female,23,70.0,29
126,Female,31,70.0,77
127,Male,43,71.0,35
128,Male,40,71.0,95
129,Male,59,71.0,11
130,Male,38,71.0,75
131,Male,47,71.0,9
132,Male,39,71.0,75
133,Female,25,72.0,34
134,Female,31,72.0,71
135,Male,20,73.0,5
136,Female,29,73.0,88
137,Female,44,73.0,7
138,Male,32,73.0,73
139,Male,19,74.0,10
140,Female,35,74.0,72
141,Female,57,75.0,5
142,Male,32,75.0,93
143,Female,28,76.0,40
144,Female,32,76.0,87
145,Male,25,77.0,12
146,Male,28,77.0,97
147,Male,48,77.0,36
148,Female,32,77.0,74
149,Female,34,78.0,22
150,Male,34,78.0,90
151,Male,43,78.0,17
152,Male,39,78.0,88
153,Female,44,78.0,20
154,Female,38,78.0,76
155,Female,47,78.0,16
156,Female,27,78.0,89
157,Male,37,78.0,1
158,Female,30,78.0,78
159,Male,34,78.0,1
160,Female,30,78.0,73
161,Female,56,79.0,35
162,Female,29,79.0,83
163,Male,19,81.0,5
164,Female,31,81.0,93
165,Male,50,85.0,26
166,Female,36,85.0,75
167,Male,42,86.0,20
168,Female,33,86.0,95
169,Female,36,87.0,27
170,Male,32,87.0,63
171,Male,40,87.0,13
172,Male,28,87.0,75
173,Male,36,87.0,10
174,Male,36,87.0,92
175,Female,52,88.0,13
176,Female,30,88.0,86
177,Male,58,88.0,15
178,Male,27,88.0,69
179,Male,59,93.0,14
180,Male,35,93.0,90
181,Female,37,97.0,32
182,Female,32,97.0,86
183,Male,46,98.0,15
184,Female,29,98.0,88
185,Female,41,99.0,39
186,Male,30,99.0,97
187,Female,54,101.0,24
188,Male,28,101.0,68
189,Female,41,103.0,17
190,Female,36,103.0,85
191,Female,34,103.0,23
192,Female,32,103.0,69
193,Male,33,113.0,8
194,Female,38,113.0,91
195,Female,47,120.0,16
196,Female,35,120.0,79
197,Female,45,126.0,28
198,Male,32,126.0,74
199,Male,32,137.0,18
200,Male,30,137.0,83
